Event,File Name,Merchant,Date,Location,Item,Amount,Category,Justification,Needs Approval,Approval Reason,Receipt Total
Competition_Receipts,receipt_office_depot.png,office pepot,Not Available,Not Available,Printer Paper,6.99,Office Supplies,"Essential for printing documents, designs, and reports.",False,,21.88
Competition_Receipts,receipt_office_depot.png,office pepot,Not Available,Not Available,uss prive,12.99,Materials & Consumables,Assumed to be USB drives for storing team data; needs clarification.,True,Unclear item description. Needs clarification on what 'uss prive' refers to.,21.88
Competition_Receipts,receipt_office_depot.png,office pepot,Not Available,Not Available,Tex,1.90,Office Supplies,Assumed to be sales tax; needs clarification.,True,Unclear item description. Needs clarification on what 'Tex' refers to. May be tax.,21.88
Competition_Receipts,receipt_uber.png,Wher Trip,Not Available,Not Available,Base Fare,5.00,Travel & Lodging,Likely a base fare for a ride-sharing service or public transport to/from a relevant club activity.,False,,22.00
Competition_Receipts,receipt_uber.png,Wher Trip,Not Available,Not Available,Distance,12.75,Travel & Lodging,Cost associated with the distance traveled using a ride-sharing service or public transport.,False,,22.00
Competition_Receipts,receipt_uber.png,Wher Trip,Not Available,Not Available,Time,4.25,Travel & Lodging,"Likely a surcharge based on the duration of the trip, common with ride-sharing services during peak hours or high demand.",False,,22.00
Competition_Receipts,receipt_tacobell.png,Taco Well,Not Available,Not Available,43 combo,8.99,Competition Food,Team meal during a competition or work session.,False,,12.32
Competition_Receipts,receipt_tacobell.png,Taco Well,Not Available,Not Available,Large Drink,2.29,Competition Food,Beverage with team meal.,False,,12.32
Competition_Receipts,receipt_tacobell.png,Taco Well,Not Available,Not Available,Tex,1.04,Tax,Sales tax on food and drinks.,False,,12.32
Competition_Receipts,receipt_airbnb.png,Rixbub Booking,Not Available,Not Available,3 Nights stay,240.00,Travel & Lodging,Lodging for team members during a competition or event.,True,Requires documentation of the event and attendees to justify the expense.,295.00
Competition_Receipts,receipt_airbnb.png,Rixbub Booking,Not Available,Not Available,Cleaning Fee,35.00,Travel & Lodging,Cleaning fee associated with the team's lodging.,False,,295.00
Competition_Receipts,receipt_airbnb.png,Rixbub Booking,Not Available,Not Available,Service Fee,20.00,Travel & Lodging,Booking service fee.,False,,295.00
Competition_Receipts,receipt_home_depot.png,Mone Depot,Not Available,Not Available,Screwdriver set,14.99,Tools & Equipment,Essential hand tool for mechanical work.,False,,27.63
Competition_Receipts,receipt_home_depot.png,Mone Depot,Not Available,Not Available,wrench,10.49,Tools & Equipment,Essential hand tool for mechanical work.,False,,27.63
Competition_Receipts,receipt_home_depot.png,Mone Depot,Not Available,Not Available,Tex,2.15,Tax,Sales tax.,False,,27.63
